Relocated Date,Make,Color,Plate,State,Relocated From Address Number,Relocated From Street Direction,Relocated From Street Name,Relocated From Suffix,Relocated To Address Number,Relocated To Direction,Relocated To Street Name,Relocated To Suffix,Relocated Reason,Service Request Number,Relocated From X Coordinate,Relocated From Y Coordinate,Relocated From Latitude,Relocated From Longitude,Relocated From Location
06/23/2020 08:20:00 AM,Ford,Red,ZZ62989,Illinois,7548,S,LAFAYETTE,AVE,104,W,75TH ST.,,Other,20-00044728,1177145.59141987,1854939.35430205,41.757288253,-87.626352074,"(41.75728825333875, -87.62635207385)"
06/19/2020 09:59:00 PM,Honda,Black,221V177.   TMP,Illinois,3770,S,IRON,ST,323,E,LOWER WACKER DRIVE PUT ON ISLAND,,Broken Down,20-00044275,1167926.9481328,1879701.78001747,41.825442204,-87.659425627,"(41.82544220359611, -87.65942562720997)"
06/20/2020 02:53:00 AM,GMC,White,BG82329,Illinois,314,E,CHICAGO RIVER,,1160,N,LARRABEE,,Police,20-00044278,1178446.7047937,1902784.03271954,41.888548469,-87.620128205,"(41.88854846885163, -87.62012820545382)"
06/20/2020 08:38:00 AM,GMC,Black,CC855550,Illinois,4550,S,CALUMET,AVE,4642,S,MICHIGAN,,Other,20-00044287,1179186.09452011,1875253.90782257,41.812987108,-87.618254819,"(41.81298710761249, -87.61825481887851)"
06/23/2020 08:13:00 AM,Toyota,Black,657737,Illinois,1013,W,RANDOLPH SOUTH,ST,4535,N,LOWELL,,Other,20-00044726,,,,,
06/20/2020 09:06:00 AM,Chevrolet,Gray,Q653744,Illinois,4622,S,CALUMET,AVE,4541,S,PRAIRIE,,Other,20-00044292,1179209.87232896,1874445.97859116,41.810769539,-87.618192263,"(41.81076953869089, -87.61819226327087)"
06/23/2020 10:15:00 AM,Nissan,White,BH55275,Illinois,5,S,STATE,ST,4334,N,KIMBALL,,Other,20-00044874,1176376.59122814,1900376.50989122,41.881989057,-87.627803016,"(41.88198905663059, -87.62780301626108)"
06/20/2020 09:24:00 AM,Volvo,Blue,AK34379,Illinois,1418,N,CALIFORNIA,AVE,1428,N,CALIFORNIA,,Peoples Gas,20-00044294,1157471.96667632,1909309.9698816,41.906908764,-87.696977223,"(41.90690876397793, -87.69697722325905)"
06/23/2020 10:20:00 AM,Mazda,Black,Z746655,Illinois,1910,W,21ST,ST,1920,W,20TH PLACE,,Other,20-00044875,1163959.02050808,1890093.58031798,41.85404286,-87.673690147,"(41.85404285966028, -87.67369014680499)"
06/20/2020 09:45:00 AM,Kia Motors Corp,Blue,HMZ417,Iowa,1820,N,CLARK,ST,300,E,WACKER,,Other,20-00044296,1174528.53002629,1912538.09999969,41.915402586,-87.634225102,"(41.91540258635879, -87.63422510160304)"
06/20/2020 09:40:00 AM,Saturn,Gray,287V043,Illinois,1456,N,CALIFORNIA,AVE,1458,N,CALIFORNIA,,Commonwealth Edison,20-00044297,1157465.45663166,1909564.22146851,41.907606584,-87.696994209,"(41.907606584014694, -87.69699420879299)"
06/23/2020 11:10:00 AM,Acura,Gray,Z557877,Illinois,2928,S,THROOP,ST,2921,S,THROOP,,Water Management,20-00044891,1169972.58232581,1885291.22161075,41.840735879,-87.651758034,"(41.84073587937712, -87.65175803434933)"
06/23/2020 11:41:00 AM,Volkswagen,Silver,BR45184,Illinois,4219,N,CICERO,AVE,4863,W,BERTEAU,,Other,20-00044909,1143610.81258242,1927694.84730508,41.957629539,-87.747433988,"(41.95762953939065, -87.74743398802171)"
06/20/2020 10:09:00 AM,Chrysler,Gray,901766,Illinois,4728,S,CALUMET,AVE,4911,S,CALUMET,,Other,20-00044298,1179229.94861926,1873744.29882065,41.808843611,-87.618140044,"(41.80884361108434, -87.61814004415083)"
